Production Budget,Domestic Gross
500000,55000
450000,2712293
40000000,34416893
8500000,15024232
35000,321952
23000,1227508
35000000,14471440
14000000,34729091
100000000,201858746
20000000,130726716
25000000,78656813
25000000,9286314
65000000,17218916
27000000,74888996
50000000,165493908
23000000,86930411
20000000,37537675
7000000,5017971
23000000,7018525
6000000,773490
16000000,29090445
5000000,34872033
24000000,41798224
2500000,6401336
7000000,8824553
5000000,19438638
9000000,349618
70000000,119654823
20000000,218951625
35000000,79091969
30000000,113502246
16500000,58011485
24000000,43218387
6500000,56190094
40000000,70405498
30000000,74787599
11000000,81204830
7000000,5430822
42000000,70052444
40000000,107533925
42000000,19487173
10000000,50752337
20000000,121697323
35000000,4651977
40000000,14358033
11000000,52929168
8000000,26124872
5000000,1526697
45000000,83287363
35000000,144731527
55000000,54927174
10000000,32100816
80000000,162833635
40000000,44948240
14400000,101157447
11000000,21171695
55000000,58422650
7000000,14231669
5000000,1050861
40000000,75505856
12500000,10725228
8000000,21706101
1200000,2832029
28000000,217350219
33000000,141340178
12000000,27281507
40000000,82522790
35000000,48169910
20000000,173585516
25000000,121945720
4000000,62546695
35000000,23365858
2000000,21000
1800000,673
14000000,68856263
800000,1001437
32000000,36299670
15000000,22189039
6500000,24103594
11000000,11502976
7000,2040920
12000000,6730578
21000000,42273609
35000000,4496583
15000000,9579068
13000000,27979399
22000000,10696210
15000000,22954968
13000000,1152117
3500000,27731527
65000000,84049211
42000000,20844907
44000000,183875760
85000000,50016394
42000000,158340892
8000000,22549338
28000000,39360491
20000000,77698625
14000000,27450453
25000000,10731997
3000000,15935068
6000000,3273588
15000000,39100956
34000000,32014993
6900000,7950889
3000000,3902679
12500000,12281000
63000000,395708305
25000000,219195051
19000000,2119994
14600000,70906973
3000000,242623
7000000,40157856
25000000,96067179
45000000,100768056
26000000,77324422
25000000,56505065
11000000,9170214
22000000,25842377
50000000,16581575
40000000,31835600
50000000,38590458
10000000,18272447
40000000,24172899
62000000,122012656
30000000,51041856
12000000,72217396
10000000,3275585
45000000,22006296
13000000,7881335
8000000,8864699
9000000,4333569
14000000,13024170
50000000,42586861
45000000,130531208
20000000,11744960
55000000,330151138
79300000,422780140
70000000,65011757
63000000,25052000
45000000,57362581
100000000,146282411
45000000,92115211
18000000,119920129
10000000,126247
1500000,418953
4500000,52700832
55000000,83015089
28000000,44853581
25000000,28241469
1500000,5046118
45000000,46815000
18000000,5828466
30000000,121248145
8000000,107928762
8000000,18090181
700000,7768371
27000,3073428
20000000,13383747
55000000,71565669
40000000,2816518
20000000,305070
50000000,105264608
22000000,144833357
5000000,3046086
38000000,75671262
16000000,19284974
10000000,29317886
16000000,127175374
40000000,38087756
15000000,50003303
35000000,33423000
30000000,66502573
27000000,44342956
10500000,125169
25000000,4064333
13700000,56598476
15000000,529766
12000000,21089146
26000000,13738574
2500000,5274005
22000000,71516617
4000000,7555256
50000000,11497497
20000000,17468887
14000000,2461628
30000000,63658910
30000000,23998226
40000000,14942422
3500000,27467564
90000000,100012499
72000000,75545647
6000000,11784569
55000000,100328194
50000000,30306268
100000000,184031112
250000,2210408
85000000,34687912
65000000,172070496
28000000,31390587
25000000,22032635
23000000,65647413
75000000,37361412
35000000,60054449
60000000,50024083
45000000,35627222
1500000,7412216
175000000,88246220
22000000,50621733
6000000,23341568
20000000,70433227
24000000,669276
7000000,25532388
50000000,81022333
50000,10426506
40000000,20350754
30000000,100125643
20000000,21284514
5000000,15126948
32000000,18552460
50000000,67823573
55000000,141579773
30000000,108360063
50000000,10359006
50000000,9812870
30250000,72021008
6100000,2108367
20000000,32051917
14000000,19637147
4000000,31983777
16500000,42993774
62000000,60022813
60000000,106429941
68000000,35324232
52000000,42438300
30000000,191796233
55000000,91387195
11000000,2794056
11000000,2844379
65000000,100458310
58000000,53458319
45000000,13668249
92000000,10017322
4000000,4301000
29000000,57141459
31000000,82582604
18000000,4100000
11000000,39387284
9200000,2684904
60000000,51045801
10000,527
14500000,46338728
12500000,1212799
20000000,25728961
44000000,22730924
38000000,10229300
75000000,306169255
55000000,21226204
5900000,22231658
40000000,20278055
10000000,38623460
5000000,407488
47000000,5707094
18000000,2483790
7500000,32281907
8000000,34873513
15000000,24769466
8000000,5656388
55000000,56679192
12000000,4880941
7000000,14853474
39000000,30356589
45000000,20404841
10000000,3357324
4500000,3802260
2500000,25857416
35000000,1320043
25000000,10039566
13000000,2104439
32000000,104636382
25530000,20080020
80000000,180981886
18000000,26936265
57000000,51364680
32000000,4357406
9000000,36049108
80000000,32908290
20000000,9725847
47000000,60240295
100000000,101295562
100000000,100138851
5000000,12961389
55000000,128814019
50000000,33109743
75000000,134069511
45000000,17220599
45000000,20133326
1000000,1287480
30000000,17192205
3100000,16501785
40000000,108766007
25000000,25023424
25000000,15382170
2000000,304602
7000000,24567751
70000000,136492681
55000000,18582965
45000000,53854588
19000000,1353824
40000000,27682712
3500000,9482579
3000000,295493
65000000,70645997
50000000,25426861
45000000,58617334
3000000,2962051
25000000,14102929
67000000,18115927
30000000,105489203
300000,1652472
38000000,17378193
4500000,13417292
88000000,241688385
800000,4198137
13000000,26570048
2400000,5691854
44000000,53300852
200000,4505922
14000000,15171475
65000000,33447612
55000000,38564422
25000000,11092559
1300000,749741
80000000,90463534
42000000,41267469
35000000,78716374
4833610,24475416
60000000,60592389
46000000,92027888
5500000,35811509
20000000,26792700
46000000,59003384
7000000,659000
80000000,37771017
50000000,153952592
